mccarle01,11/17/1888,Milton PA,USA,6/9/1930,Reading PA,USA,Lew,McCarty,192,,R,R,8/30/1913,4/13/1921
hilleho02,5/12/1893,East Mauch Chunk PA,USA,12/27/1956,Lehighton PA,USA,Hob,Hiller,162,68,R,R,4/22/1920,4/14/1921
kirchmi01,9/30/1897,Rochester NY,USA,6/26/1972,Rochester NY,USA,Mike,Kircher,180,72,B,R,8/8/1919,4/18/1921
pieroal01,10/24/1895,Boston MA,USA,2/12/1964,Everett MA,USA,Al,Pierotti,195,,R,R,8/9/1920,4/24/1921
cunnige01,7/13/1894,Sturgeon Lake MN,USA,3/10/1972,Chattanooga TN,USA,George,Cunningham,185,71,R,R,4/14/1916,5/2/1921
hansool01,1/19/1896,Holbrook MA,USA,8/19/1951,Clifton NJ,USA,Ollie,Hanson,178,71,R,R,4/27/1921,5/5/1921
culloni01,9/17/1887,Chilhowie VA,USA,4/15/1961,Tazewell VA,USA,Nick,Cullop,172,,L,L,5/20/1913,5/9/1921
gilhage01,9/17/1899,Shamokin PA,USA,4/25/1937,Lansdowne PA,USA,George,Gilham,164,71,R,R,9/24/1920,5/10/1921
irwinwa01,9/23/1897,Henrietta PA,USA,8/18/1976,Spring Lake MI,USA,Walt,Irwin,170,,R,R,4/24/1921,5/12/1921
prattfr01,8/24/1897,Blocton AL,USA,3/8/1974,Centreville AL,USA,Frank,Pratt,155,,L,R,5/13/1921,5/13/1921
sheehja01,4/15/1893,Chicago IL,USA,5/29/1987,W.Palm Beach FL,USA,Jack,Sheehan,165,,B,R,9/11/1920,5/16/1921
ayersdo01,5/21/1891,Snake Creek VA,USA,5/26/1968,Pulaski VA,USA,Doc,Ayers,185,73,R,R,9/9/1913,5/21/1921
paskedo01,8/28/1881,Cleveland OH,USA,2/12/1959,Cleveland OH,USA,Dode,Paskert,165,71,R,R,9/21/1907,5/27/1921
townsle01,1/15/1891,Mobile AL,USA,12/3/1976,Mobile AL,USA,Leo,Townsend,160,70,L,L,9/8/1920,5/27/1921
moharge01,3/6/1892,Buffalo NY,USA,10/2/1970,Silver Creek NY,USA,George,Mohart,165,69,R,R,4/15/1920,5/30/1921
penceru01,3/11/1900,Marine IL,USA,8/11/1971,Hot Springs AR,USA,Rusty,Pence,185,72,R,R,5/13/1921,5/30/1921
perrysc01,4/17/1891,Denison TX,USA,10/27/1959,Kansas City MO,USA,Scott,Perry,175,72,R,R,5/13/1915,6/1/1921
lewisdu01,4/18/1888,San Francisco CA,USA,6/17/1979,Salem NH,USA,Duffy,Lewis,165,70,R,R,4/16/1910,6/6/1921
roggecl01,7/19/1889,Memphis MI,USA,1/6/1969,Mt.Clemens MI,USA,Clint,Rogge,185,70,L,R,4/11/1915,6/6/1921
wheatma01,6/9/1893,Polo MO,USA,8/14/1979,Los Banos CA,USA,Mack,Wheat,167,,R,R,4/14/1915,6/6/1921
